Tourist_Spot,Address,Zipcode,lon,lat,geoAddress
Castle Clinton National Monument,"Castle Clinton National Monument, 17 Battery Pl. Manhattan, NY 10005-1996, Battery Park City",10005-1996,-74.0159855,40.7051588,"17 battery pl, new york, ny 10004, usa"
34th Street Partnership,"mail: 1065 Sixth Ave., ste. 2400 New York, NY 10018 , Midtown West",10018,-73.9855919,40.7539952,"1065 6th ave #2400, new york, ny 10018, usa"
General Grant National Memorial,"Riverside Dr and 122nd St Manhattan, NY 10027, Morningside Heights",10027,-73.9630173,40.8126328,"riverside dr & w 122nd st, new york, ny 10027, usa"
"Pier 25, Hudson River Park","225 West St. Manhattan, NY 10013, Tribeca ",10013,-74.0139971,40.7202023,"225 west st, new york, ny 10013, usa"
55 Central Park West,"55 Central Park West New York, NY 10023, Upper West Side",10023,-73.979081,40.7722757,"55 central park west, new york, ny 10023, usa"
Sara D. Roosevelt Park,"East Houston Street to Canal Street (bet. Forsyth and Chrystie Sts.) Manhattan, NY 10002, Lower East Side",10002,-73.9931142,40.719712,"chrystie st, new york, ny 10002, usa"
Central Park Arsenal,"East side of the park at Fifth Ave and 64th St Manhattan, NY 10065, Central Park",10065,-73.9568117,40.7644435,"1275 york ave, new york, ny 10065, usa"
InterChurch Center,"475 Riverside Dr., rm. 253 Manhattan, NY 10115, Morningside Heights",10115,-73.963991,40.8109362,"475 riverside dr #253, new york, ny 10115, usa"
Sakura Park,"W 122nd St and Riverside Dr Manhattan, NY 10027, Morningside Heights",10027,-73.9630173,40.8126328,"riverside dr & w 122nd st, new york, ny 10027, usa"
Pelham Bay Park,"Bruckner Blvd and Westchester Ave Bronx, NY 10461, Pelham Bay",10461,-73.8260481,40.8532159,"bruckner blvd & westchester ave, the bronx, ny 10465, usa"
Hudson River Park,"West Side Highway, bet. Battery Place and W. 59th St. Manhattan, NY 10014, Manhattan",10014,-73.9914741,40.7755364,"west side hwy, new york, ny, usa"
LIC Flea & Food,"5-25 46th Ave. Queens, NY 11101, Long Island City",11101,-73.9541724,40.7474559,"5-25 46th ave, long island city, ny 11101, usa"
Grant's Tomb,"Riverside Drive and West 122nd Street Manhattan, NY 10027, Morningside Heights",10027,-73.9630173,40.8126328,"riverside dr & w 122nd st, new york, ny 10027, usa"
Gravesend Cemetery,"Ave V and Van Sicklen St Brooklyn, NY 11223, Gravesend",11223,-73.9750394,40.5967886,"van sicklen st, brooklyn, ny 11223, usa"
Piers 92/94 New York,"711 Twelfth Ave. Manhattan, NY 10019, Midtown West",10019,-73.9964354,40.7691055,"711 12th ave, new york, ny 10019, usa"
New York Marble Cemetery,"41 1/2 Second Ave Manhattan, NY 10003, Lower East Side",10003,-73.990808,40.7255538,"41 1/2 2nd ave, new york, ny 10003, usa"
